ID_hecho,FECHA,AAAA,MM,DD,ROL,VICTIMA,SEXO,EDAD,FECHA_FALLECIMIENTO
2018-0004,2018-01-09,2018,1,9,CONDUCTOR,MOTO,MASCULINO,39,2018-01-09 00:00:00
2018-0005,2018-01-09,2018,1,9,PEATON,PEATON,MASCULINO,54,2018-01-09 00:00:00
2018-0007,2018-01-11,2018,1,11,CONDUCTOR,AUTO,MASCULINO,46,2018-01-11 00:00:00
2018-0008,2018-01-12,2018,1,12,CONDUCTOR,MOTO,FEMENINO,32,2018-01-12 00:00:00
2018-0010,2018-01-18,2018,1,18,CONDUCTOR,MOTO,MASCULINO,40,2018-01-18 00:00:00
2018-0013,2018-01-28,2018,1,28,CONDUCTOR,MOTO,MASCULINO,44,2018-01-28 00:00:00
2018-0015,2018-02-06,2018,2,6,CONDUCTOR,MOTO,MASCULINO,28,2018-02-06 00:00:00
2018-0016,2018-02-15,2018,2,15,CONDUCTOR,MOTO,MASCULINO,31,2018-02-15 00:00:00
2018-0017,2018-02-17,2018,2,17,PEATON,PEATON,MASCULINO,35,2018-02-20 00:00:00
2018-0018,2018-02-17,2018,2,17,CONDUCTOR,MOTO,MASCULINO,26,2018-02-17 00:00:00
2018-0020,2018-02-19,2018,2,19,CONDUCTOR,MOTO,MASCULINO,26,2018-02-19 00:00:00
2018-0022,2018-02-24,2018,2,24,CONDUCTOR,MOTO,MASCULINO,28,2018-02-24 00:00:00
2018-0023,2018-02-24,2018,2,24,CONDUCTOR,MOTO,MASCULINO,28,2018-02-24 00:00:00
2018-0029,2018-03-15,2018,3,15,CONDUCTOR,MOTO,MASCULINO,26,2018-03-15 00:00:00
2018-0030,2018-03-20,2018,3,20,CONDUCTOR,MOTO,MASCULINO,24,2018-03-20 00:00:00
2018-0031,2018-03-28,2018,3,28,CONDUCTOR,MOTO,MASCULINO,31,2018-03-28 00:00:00
2018-0033,2018-04-07,2018,4,7,CONDUCTOR,MOTO,FEMENINO,42,2018-04-10 00:00:00
2018-0034,2018-04-11,2018,4,11,PEATON,PEATON,MASCULINO,24,2018-04-11 00:00:00
2018-0035,2018-04-12,2018,4,12,PEATON,PEATON,FEMENINO,39,2018-04-12 00:00:00
2018-0036,2018-04-13,2018,4,13,CONDUCTOR,MOTO,MASCULINO,37,2018-04-15 00:00:00
2018-0038,2018-04-20,2018,4,20,PEATON,PEATON,FEMENINO,59,2018-04-20 00:00:00
2018-0039,2018-04-21,2018,4,21,PEATON,PEATON,MASCULINO,37,2018-04-21 00:00:00
2018-0043,2018-04-28,2018,4,28,CONDUCTOR,MOTO,MASCULINO,25,2018-04-29 00:00:00
2018-0044,2018-04-28,2018,4,28,PEATON,PEATON,FEMENINO,50,2018-04-28 00:00:00
2018-0048,2018-05-09,2018,5,9,PEATON,PEATON,MASCULINO,57,2018-05-16 00:00:00
2018-0049,2018-05-11,2018,5,11,PEATON,PEATON,FEMENINO,40,2018-05-13 00:00:00
2018-0050,2018-05-14,2018,5,14,PEATON,PEATON,FEMENINO,47,2018-05-24 00:00:00
2018-0051,2018-05-15,2018,5,15,PEATON,PEATON,FEMENINO,57,2018-05-15 00:00:00
2018-0053,2018-05-20,2018,5,20,CONDUCTOR,MOTO,MASCULINO,43,2018-05-20 00:00:00
2018-0055,2018-05-29,2018,5,29,CONDUCTOR,MOTO,MASCULINO,21,2018-05-29 00:00:00
2018-0057,2018-06-03,2018,6,3,CONDUCTOR,MOTO,MASCULINO,33,2018-06-04 00:00:00
2018-0058,2018-06-03,2018,6,3,CONDUCTOR,MOTO,MASCULINO,26,2018-06-13 00:00:00
2018-0059,2018-06-08,2018,6,8,CONDUCTOR,MOTO,MASCULINO,54,2018-06-08 00:00:00
2018-0060,2018-06-08,2018,6,8,PEATON,PEATON,MASCULINO,51,2018-06-08 00:00:00
2018-0061,2018-06-10,2018,6,10,CONDUCTOR,MOTO,MASCULINO,51,2018-06-10 00:00:00
2018-0062,2018-06-14,2018,6,14,PEATON,PEATON,MASCULINO,32,2018-06-14 00:00:00
2018-0063,2018-06-16,2018,6,16,PEATON,PEATON,FEMENINO,28,2018-06-17 00:00:00
2018-0064,2018-06-25,2018,6,25,CONDUCTOR,AUTO,MASCULINO,30,2018-06-25 00:00:00
2018-0065,2018-06-26,2018,6,26,CONDUCTOR,MOTO,MASCULINO,35,2018-06-26 00:00:00
2018-0068,2018-07-01,2018,7,1,CONDUCTOR,MOTO,MASCULINO,21,2018-07-01 00:00:00
2018-0070,2018-07-07,2018,7,7,CONDUCTOR,MOTO,MASCULINO,33,2018-07-07 00:00:00
2018-0072,2018-07-11,2018,7,11,CONDUCTOR,MOTO,MASCULINO,27,2018-07-13 00:00:00
2018-0074,2018-07-14,2018,7,14,CONDUCTOR,AUTO,MASCULINO,25,2018-07-14 00:00:00
2018-0075,2018-07-15,2018,7,15,PEATON,PEATON,MASCULINO,23,2018-07-15 00:00:00
2018-0077,2018-07-16,2018,7,16,CONDUCTOR,AUTO,MASCULINO,58,2018-07-17 00:00:00
2018-0078,2018-07-21,2018,7,21,PEATON,PEATON,MASCULINO,27,2018-07-21 00:00:00
2018-0080,2018-07-25,2018,7,25,PEATON,PEATON,MASCULINO,26,2018-07-25 00:00:00
2018-0081,2018-07-29,2018,7,29,PEATON,PEATON,MASCULINO,35,2018-07-29 00:00:00
2018-0084,2018-08-03,2018,8,3,PEATON,PEATON,MASCULINO,45,2018-08-03 00:00:00
2018-0086,2018-08-10,2018,8,10,PEATON,PEATON,MASCULINO,40,2018-08-10 00:00:00
2018-0090,2018-08-18,2018,8,18,CONDUCTOR,MOTO,MASCULINO,27,2018-08-18 00:00:00
2018-0092,2018-08-20,2018,8,20,CONDUCTOR,MOTO,MASCULINO,23,2018-08-20 00:00:00
